X1,X2,X3,Y,Nor _X1,Nor_X2,Nor_X3,Nor_Y,epoch:1,EPOCH:2
5401.33,5409.23,5377.76,5371.47,0.069136602,0.070206639,0.065944098,0.065092132,0.066430881,0.066497951
5371.47,5401.33,5409.23,5355.64,0.065092132,0.069136602,0.070206639,0.062947993,0.066416906,0.066483232
5355.64,5371.47,5401.33,5381.59,0.062947993,0.065092132,0.069136602,0.066462863,0.066401841,0.066467141
5381.59,5355.64,5371.47,5393.94,0.066462863,0.062947993,0.065092132,0.068135643,0.066413735,0.066479502
5393.94,5381.59,5355.64,5330.14,0.068135643,0.066462863,0.062947993,0.059494076,0.06641795,0.066484098
5330.14,5393.94,5381.59,5346.45,0.059494076,0.068135643,0.066462863,0.061703229,0.066373324,0.066437234
5346.45,5330.14,5393.94,5320.67,0.061703229,0.059494076,0.068135643,0.058211385,0.066392792,0.066457305
5320.67,5346.45,5330.14,5327.54,0.058211385,0.061703229,0.059494076,0.059141911,0.066349286,0.066411495
5327.54,5320.67,5346.45,5318.72,0.059141911,0.058211385,0.061703229,0.057947262,0.066361214,0.066423901
5318.72,5327.54,5320.67,5195.5,0.057947262,0.059141911,0.058211385,0.041257389,0.066344965,0.066406794
5195.5,5318.72,5327.54,5171.73,0.041257389,0.057947262,0.059141911,0.038037795,0.066245339,0.066301835
5171.73,5195.5,5318.72,5199.49,0.038037795,0.041257389,0.057947262,0.041797825,0.066226007,0.066280591
5199.49,5171.73,5195.5,5184.14,0.041797825,0.038037795,0.041257389,0.039718702,0.066208066,0.066261318
5184.14,5199.49,5171.73,5173.2,0.039718702,0.041797825,0.038037795,0.038236904,0.066186629,0.066238904
5173.2,5184.14,5199.49,5118.43,0.038236904,0.039718702,0.041797825,0.03081843,0.066187354,0.066239605
5118.43,5173.2,5184.14,5087.94,0.03081843,0.038236904,0.039718702,0.026688627,0.066137288,0.066186789
5087.94,5118.43,5173.2,4997.35,0.026688627,0.03081843,0.038236904,0.014418414,0.058995832,0.059028952
4997.35,5087.94,5118.43,5055.99,0.014418414,0.026688627,0.03081843,0.022361071,0.058911595,0.058940079
5055.99,4997.35,5087.94,5045.91,0.022361071,0.014418414,0.026688627,0.020995758,0.058949013,0.058978787
